"","long","lat","loiczid"
"869",-85.75,27.75,89469
"870",-85.25,27.75,89470
"871",-84.75,27.75,89471
"872",-84.25,27.75,89472
"873",-83.75,27.75,89473
"874",-83.25,27.75,89474
"875",-82.75,27.75,89475
"876",-82.25,27.75,89476
"877",-81.75,27.75,89477
"878",-81.25,27.75,89478
"879",-80.75,27.75,89479
"880",-80.25,27.75,89480
"881",-79.75,27.75,89481
"882",-79.25,27.75,89482
"883",-78.75,27.75,89483
"884",-78.25,27.75,89484
"885",-77.75,27.75,89485
"886",-77.25,27.75,89486
"887",-76.75,27.75,89487
"888",-76.25,27.75,89488
"889",-75.75,27.75,89489
"890",-75.25,27.75,89490
"891",-74.75,27.75,89491
"892",-74.25,27.75,89492
"893",-73.75,27.75,89493
"894",-73.25,27.75,89494
"895",-72.75,27.75,89495
"896",-72.25,27.75,89496
"897",-71.75,27.75,89497
"898",-71.25,27.75,89498
"899",-70.75,27.75,89499
"900",-70.25,27.75,89500
"901",-99.75,27.25,90161
"902",-99.25,27.25,90162
"903",-98.75,27.25,90163
"904",-98.25,27.25,90164
"905",-97.75,27.25,90165
"906",-97.25,27.25,90166
"907",-96.75,27.25,90167
"908",-96.25,27.25,90168
"909",-95.75,27.25,90169
"910",-95.25,27.25,90170
"911",-94.75,27.25,90171
"912",-94.25,27.25,90172
"913",-93.75,27.25,90173
"914",-93.25,27.25,90174
"915",-92.75,27.25,90175
"916",-92.25,27.25,90176
"917",-91.75,27.25,90177
"918",-91.25,27.25,90178
"919",-90.75,27.25,90179
"920",-90.25,27.25,90180
"921",-89.75,27.25,90181
"922",-89.25,27.25,90182
"923",-88.75,27.25,90183
"924",-88.25,27.25,90184
"925",-87.75,27.25,90185
"926",-87.25,27.25,90186
"927",-86.75,27.25,90187
